Reference,Value,Datasheet,Package,Qty,
C1,1uF,~,Box Style Film Capacitor,1,
"C2,C3",47uF,~,Electrolytic Capacitor,2,
"C4,C5,C6,C7,C8,C9",0.1uF,~,Ceramic Disc Capacitor,6,
C10,100nF,~,Box Style Film Capacitor,1,
C11,470pF,~,Ceramic Disc Capacitor,1,
C12,220pF,~,Ceramic Disc Capacitor,1,
"D1,D2",1N5819,http://www.vishay.com/docs/88525/1n5817.pdf,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,2,
D5,LED,~,LED 5.0mm,1,
E1,Conn_01x10_Pin,~,Pins_2x05_2.54mm_TH_EurorackPower_Shrouded,1,
J1,Out,~,Jack_6.35mm,1,
J2,CV In,~,Jack_6.35mm,1,
"J3,J4",Conn_01x06,~,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,2,
J5,In,~,Jack_6.35mm,1,
Q1,BC548,https://www.onsemi.com/pub/Collateral/BC550-D.pdf,THT:TO-92_Inline_Wide,1,
"Q2,Q3",2N3906,https://www.onsemi.com/pub/Collateral/2N3906-D.PDF,THT:TO-92_Inline_Wide,2,
"R1,R2,R5,R10,R13,R15,R18,R25",100K,~,Metal Film 1/4 Resistor,8,
"R3,R4",10,~,Metal Film 1/4 Resistor,2,
"R6,R14,R16,R23,R24",220,~,Metal Film 1/4 Resistor,5,
"R7,R11,R12,R17,R21,R22,R26",10K,~,Metal Film 1/4 Resistor,7,
R8,470K,~,Metal Film 1/4 Resistor,1,
"R9,R19,R27",1K,~,Metal Film 1/4 Resistor,3,
R20,47K,~,Metal Film 1/4 Resistor,1,
SW1,SW_DPDT_x2,~,DPDT switch,1,
U1,TL074,~,DIP-14_W7.62mm,1,
U2,LM13700,http://www.ti.com/lit/ds/symlink/lm13700.pdf,DIP-16_W7.62mm,1,
VR1,B100K Cutoff,~,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,
VR2,B100K CV,~,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,
VR3,B100K RES,~,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,
